num;question;a;b;c;d;solution
20;Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann ...;tolerant.;rechtsstaatlich orientiert.;gesetzestreu.;verfassungswidrig.;d
21;Welches ist das Wappen der Bundesrepublik Deutschland?;1;2;3;4;a
22;Was für eine Staatsform hat Deutschland?;Monarchie;Diktatur;Republik;Fürstentum;c
23;In Deutschland sind die meisten Erwerbstätigen...;bei einer Firma oder Behörde beschäftigt.;in kleinen Familienunternehmen beschäftigt.;ehrenamtlich für ein Bundesland tätig.;selbständig mit einer eigenen Firma tätig.;a
24;Wie viele Bundesländer hat die Bundesrepublik Deutschland?;14;15;16;17;c
25;Was ist kein Bundesland der Bundesrepublik Deutschland?;Nordrhein-Westfalen;Elsass-Lothringen;Mecklenburg-Vorpommern;Sachsen-Anhalt;b
26;Deutschland ist ...;eine kommunistische Republik.;ein demokratischer und sozialer Bundesstaat.;eine kapitalistische und soziale Monarchie.;ein sozialer und sozialistischer Bundesstaat.;b
27;Deutschland ist ...;ein sozialistischer Staat.;ein Bundesstaat.;eine Diktatur.;eine Monarchie.;b
28;Wer wählt in Deutschland die Abgeordneten zum Bundestag?;das Militär;die Wirtschaft;das wahlberechtigte Volk;die Verwaltung;c
29;Welches Tier ist das Wappentier der Bundesrepublik Deutschland?;Löwe;Adler;Bär;Pferd;b
30;Was ist kein Merkmal unserer Demokratie?;regelmäßige Wahlen;Pressezensur;Meinungsfreiheit;verschiedene Parteien;b
31;Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland ...;Einheit.;Koalition.;Ministerium.;Fraktion.;b
32;Was ist keine staatliche Gewalt in Deutschland?;Gesetzgebung;Regierung;Presse;Rechtsprechung;c
33;Welche Aussage ist richtig? In Deutschland ...;sind Staat und Religionsgemeinschaften voneinander getrennt.;bilden die Religionsgemeinschaften den Staat.;ist der Staat abhängig von den Religionsgemeinschaften.;bilden Staat und Religionsgemeinschaften eine Einheit.;a
34;Was ist Deutschland nicht?;eine Demokratie;ein Rechtsstaat;eine Monarchie;ein Sozialstaat;c
35;Womit finanziert der deutsche Staat die Sozialversicherung?;Kirchensteuern;Sozialabgaben;Spendengeldern;Vereinsbeiträgen;b
36;Welche Maßnahme schafft in Deutschland soziale Sicherheit?;die Krankenversicherung;die Autoversicherung;die Gebäudeversicherung;die Haftpflichtversicherung;a
37;Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Senator / Senatorin;Ministerpräsident / Ministerpräsidentin;d
38;Die Bundesrepublik Deutschland ist ein demokratischer und sozialer ...;Staatenverbund.;Bundesstaat.;Staatenbund.;Zentralstaat.;b
39;Was hat jedes deutsche Bundesland?;einen eigenen Außenminister / eine eigene Außenministerin;eine eigene Währung;eine eigene Armee;eine eigene Regierung;d
40;Mit welchen Worten beginnt die deutsche Nationalhymne?;Völker, hört die Signale …;Einigkeit und Recht und Freiheit …;Freude schöner Götterfunken …;Deutschland einig Vaterland …;b
41;Warum gibt es in einer Demokratie mehr als eine Partei?;weil dadurch die unterschiedlichen Meinungen der Bürger und Bürgerinnen vertreten werden;damit Bestechung in der Politik begrenzt wird;um politische Demonstrationen zu verhindern;um wirtschaftlichen Wettbewerb anzuregen;a
42;Wer beschließt in Deutschland ein neues Gesetz?;die Regierung;das Parlament;die Gerichte;die Polizei;b
43;Wann kann in Deutschland eine Partei verboten werden?;wenn ihr Wahlkampf zu teuer ist;wenn sie gegen die Verfassung kämpft;wenn sie Kritik am Staatsoberhaupt äußert;wenn ihr Programm eine neue Richtung vorschlägt;b
44;Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?;Abgeordnete des EU-Parlaments;den Bundespräsidenten / die Bundespräsidentin;Landtagsabgeordnete;Bundestagsabgeordnete;b
45;Zu welcher Versicherung gehört die Pflegeversicherung?;Sozialversicherung;Unfallversicherung;Hausratversicherung;Haftpflicht- und Feuerversicherung;a
46;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?;Er baut Straßen und Schulen.;Er verkauft Lebensmittel und Kleidung.;Er versorgt alle Einwohner und Einwohnerinnen kostenlos mit Zeitungen.;Er produziert Autos und Busse.;a
47;Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?;Er bezahlt für alle Staatsangehörigen Urlaubsreisen.;Er zahlt Kindergeld.;Er unterstützt Museen.;Er fördert Sportler und Sportlerinnen.;a
48;Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?;der Bundesrat;der Bundespräsident / die Bundespräsidentin;die Bürgerversammlung;die Regierung;c
49;Wer bestimmt in Deutschland die Schulpolitik?;die Lehrer und Lehrerinnen;die Bundesländer;das Familienministerium;die Universitäten;b
50;Die Wirtschaftsform in Deutschland nennt man ...;freie Zentralwirtschaft.;soziale Marktwirtschaft.;gelenkte Zentralwirtschaft.;Planwirtschaft.;b
51;Zu einem demokratischen Rechtsstaat gehört es nicht, dass ...;Menschen sich kritisch über die Regierung äußern können.;Bürger friedlich demonstrieren gehen dürfen.;Menschen von einer Privatpolizei ohne Grund verhaftet werden.;jemand ein Verbrechen begeht und deshalb verhaftet wird.;c
52;Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom ...;Volke aus.;Bundestag aus.;preußischen König aus.;Bundesverfassungsgericht aus.;a
53;Was bedeutet „Rechtsstaat“ in Deutschland?;Der Staat hat Recht.;Es gibt nur rechte Parteien.;Die Bürger und Bürgerinnen entscheiden über Gesetze.;Der Staat muss die Gesetze einhalten.;d
54;Was ist keine staatliche Gewalt in Deutschland?;Legislative;Judikative;Exekutive;Direktive;d
55;Was zeigt dieses Bild?;den Bundestagssitz in Berlin;das Bundesverfassungsgericht in Karlsruhe;das Bundesratsgebäude in Berlin;das Bundeskanzleramt in Berlin;a
56;Welches Amt gehört in Deutschland zur Gemeindeverwaltung?;Pfarramt;Ordnungsamt;Finanzamt;Auswärtiges Amt;b
57;Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?;der / die älteste Abgeordnete im Parlament;der Ministerpräsident / die Ministerpräsidentin des größten Bundeslandes;ein Abgeordneter / eine Abgeordnete der stärksten Fraktion;ein ehemaliger Bundeskanzler / eine ehemalige Bundeskanzlerin;c
58;Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?;der Präsident / die Präsidentin des Bundesverfassungsgerichtes;der Bundespräsident / die Bundespräsidentin;der Bundesratspräsident / die Bundesratspräsidentin;der Bundestagspräsident / die Bundestagspräsidentin;b
59;Welche Parteien wurden in Deutschland 2007 zur Partei „Die Linke“?;CDU und SSW;PDS und WASG;CSU und FDP;Bündnis 90/Die Grünen und SPD;b
60;In Deutschland gehören der Bundestag und der Bundesrat zur ...;Exekutive.;Legislative.;Direktive.;Judikative.;b
61;Was bedeutet „Volkssouveränität“?;Der König / die Königin herrscht über das Volk.;Das Bundesverfassungsgericht steht über der Verfassung.;Die Interessenverbände üben die Souveränität zusammen mit der Regierung aus.;Die Staatsgewalt geht vom Volke aus.;d
62;Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das ...;Kommunalwahl.;Landtagswahl.;Europawahl.;Bundestagswahl.;b
63;Was gehört in Deutschland nicht zur Exekutive?;die Polizei;die Gerichte;das Finanzamt;die Ministerien;b
64;Die Bundesrepublik Deutschland ist heute gegliedert in ...;vier Besatzungszonen.;einen Oststaat und einen Weststaat.;16 Kantone.;Bund, Länder und Kommunen.;d
65;Es gehört nicht zu den Aufgaben des Deutschen Bundestages, ...;Gesetze zu entwerfen.;die Bundesregierung zu kontrollieren.;den Bundeskanzler / die Bundeskanzlerin zu wählen.;das Bundeskabinett zu bilden.;d
66;Wer schrieb den Text zur deutschen Nationalhymne?;Friedrich von Schiller;Clemens Brentano;Johann Wolfgang von Goethe;Heinrich Hoffmann von Fallersleben;d
67;Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?;Verteidigungspolitik;Außenpolitik;Wirtschaftspolitik;Schulpolitik;d
68;Warum kontrolliert der Staat in Deutschland das Schulwesen?;weil es in Deutschland nur staatliche Schulen gibt;weil alle Schüler und Schülerinnen einen Schulabschluss haben müssen;weil es in den Bundesländern verschiedene Schulen gibt;weil es nach dem Grundgesetz seine Aufgabe ist;d
69;Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?;Stadträte;Landräte;Gemeinden;Bezirksämter;c
70;Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?;Er / Sie führt die Regierungsgeschäfte.;Er / Sie kontrolliert die Regierungspartei.;Er / Sie wählt die Minister / Ministerinnen aus.;Er / Sie schlägt den Kanzler / die Kanzlerin zur Wahl vor.;d
71;Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie ...;in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.;auf Schloss Meseberg, dem Gästehaus der Bundesregieung, um Staatsgäste zu empfangen.;auf Schloss Bellevue, dem Amtssitz des Bundespräsidenten / der Bundespräsidentin, um Staatsgäste zu empfangen.;b
72;Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?;Gerhard Schröder;Jürgen Rüttgers;Klaus Wowereit;Angela Merkel;d
73;Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit ...;CDU/CSU und SPD.;Die Linke und Bündnis 90/Die Grünen.;FDP und SPD.;Die Linke und FDP.;a
74;Wie heißt das Parlament für ganz Deutschland?;Bundesversammlung;Volkskammer;Bundestag;Bundesgerichtshof;c
75;Wie heißt Deutschlands heutiges Staatsoberhaupt?;Frank-Walter Steinmeier;Joachim Gauck;Norbert Lammert;Wolfgang Thierse;a
76;Was bedeutet die Abkürzung CDU in Deutschland?;Christliche Deutsche Union;Club Deutscher Unternehmer;Christlicher Deutscher Umweltschutz;Christlich Demokratische Union;d
77;Was ist die Bundeswehr?;die deutsche Polizei;ein deutscher Hafen;eine deutsche Bürgerinitiative;die deutsche Armee;d
78;Was bedeutet die Abkürzung SPD?;Sozialistische Partei Deutschlands;Sozialpolitische Partei Deutschlands;Sozialdemokratische Partei Deutschlands;Sozialgerechte Partei Deutschlands;c
79;Was bedeutet die Abkürzung FDP in Deutschland?;Friedliche Demonstrative Partei;Freie Deutschland Partei;Führende Demokratische Partei;Freie Demokratische Partei;d
80;Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?;Oberlandesgericht;Amtsgericht;Bundesverfassungsgericht;Verwaltungsgericht;c
81;Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?;der Bundesrat;die Bundesversammlung;das Volk;der Bundestag;d
82;Wie nennt man den Regierungschef / die Regierungschefin der Bundesrepublik Deutschland?;Premierminister / Premierministerin;Bundespräsident / Bundespräsidentin;Bundeskanzler / Bundeskanzlerin;Ministerpräsident / Ministerpräsidentin;c
83;Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?;das Volk;die Bundesversammlung;der Bundestag;die Bundesregierung;c
84;Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie ...;regiert das Land.;entwirft die Gesetze.;repräsentiert das Land.;überwacht die Einhaltung der Gesetze.;c
85;Wer bildet den deutschen Bundesrat?;die Abgeordneten des Bundestages;die Minister und Ministerinnen der Bundesregierung;die Regierungsvertreter der Bundesländer;die Parteimitglieder;c
86;Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?;die Bundesversammlung;der Bundesrat;das Bundesparlament;das Bundesverfassungsgericht;a
87;Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?;der Bundeskanzler / die Bundeskanzlerin;der Bundespräsident / die Bundespräsidentin;der Bundesratspräsident / die Bundesratspräsidentin;der Bundestagspräsident / die Bundestagspräsidentin;b
88;Die parlamentarische Opposition im Deutschen Bundestag ...;kontrolliert die Regierung.;entscheidet, wer Bundesminister / Bundesministerin wird.;bestimmt, wer im Bundesrat sitzt.;schlägt die Regierungschefs / Regierungschefinnen der Länder vor.;a
89;Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?;Verband;Ältestenrat;Fraktion;Opposition;c
90;Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch ...;den Bundesrat.;die Bundesversammlung.;den Bundestag.;die Bundesregierung.;a
91;In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird ...;schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.;leichter, wenn dadurch neue Parteien in den Bundesrat kommen.;schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.;leichter, wenn es sich um ein reiches Bundesland handelt.;c
92;Was bedeutet die Abkürzung CSU in Deutschland?;Christlich Sichere Union;Christlich Süddeutsche Union;Christlich Sozialer Unternehmerverband;Christlich Soziale Union;d
93;Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto ...;mehr Sitze erhält die Partei im Parlament.;weniger Erststimmen kann sie haben.;mehr Direktkandidaten der Partei ziehen ins Parlament ein.;größer ist das Risiko, eine Koalition bilden zu müssen.;a
94;Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?;16;18;21;23;b
95;Was gilt für die meisten Kinder in Deutschland?;Wahlpflicht;Schulpflicht;Schweigepflicht;Religionspflicht;b
96;Was muss jeder deutsche Staatsbürger / jede deutsche Staatsbürgerin ab dem 16. Lebensjahr besitzen?;einen Reisepass;einen Personalausweis;einen Sozialversicherungsausweis;einen Führerschein;b
97;Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?;Sozialversicherung;Sozialhilfe;Kindergeld;Wohngeld;a
98;Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...;kann die Regierung ihre Mehrheit verlieren.;dürfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.;muss der Bundespräsident / die Bundespräsidentin zuvor sein / ihr Einverständnis geben.;dürfen die Wähler / Wählerinnen dieser Abgeordneten noch einmal wählen.;a
99;Wer bezahlt in Deutschland die Sozialversicherungen?;Arbeitgeber / Arbeitgeberinnen und Arbeitnehmer / Arbeitnehmerinnen;nur Arbeitnehmer / Arbeitnehmerinnen;alle Staatsangehörigen;nur Arbeitgeber / Arbeitgeberinnen;a
100;Was gehört nicht zur gesetzlichen Sozialversicherung?;die gesetzliche Rentenversicherung;die Lebensversicherung;die Arbeitslosenversicherung;die Pflegeversicherung;b
101;Gewerkschaften sind Interessenverbände der ...;Jugendlichen.;Arbeitnehmer und Arbeitnehmerinnen.;Rentner und Renterinnen.;Arbeitgeber und Arbeitgeberinnen.;b
102;Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem ...;Bundesadler;Bundesverdienstkreuz;Vaterländischen Verdienstorden;Ehrentitel „Held der Deutschen Demokratischen Republik“;b
103;Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit ...;der Bundestagsfraktionen von CDU und CSU;von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung;von CSU, Die LINKE und Bündnis 90/Die Grünen in einer Regierung;der Bundestagsfraktionen von CDU und SPD;b
104;Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?;Die Frau ist lange krank und arbeitsunfähig.;Die Frau kam oft zu spät zur Arbeit.;Die Frau erledigt private Sachen während der Arbeitszeit.;Die Frau bekommt ein Kind und ihr Chef weiß das.;d
105;Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?;Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.;Sie schreiben die Wahlbenachrichtigungen vor der Wahl.;Sie geben Zwischenergebnisse an die Medien weiter.;Sie zählen die Stimmen nach dem Ende der Wahl.;d
106;In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?;Sie helfen Kindern und alten Menschen beim Wählen.;Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.;Sie geben Zwischenergebnisse an Journalisten weiter.;Sie zählen die Stimmen nach dem Ende der Wahl.;d
107;Für wie viele Jahre wird der Bundestag in Deutschland gewählt?;2 Jahre;4 Jahre;6 Jahre;8 Jahre;b
108;Bei einer Bundestagswahl in Deutschland darf jeder wählen, der ...;in der Bundesrepublik Deutschland wohnt und wählen möchte.;Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.;seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.;Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.;b
109;Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?;alle drei Jahre;alle vier Jahre;alle fünf Jahre;alle sechs Jahre;b
110;Für wie viele Jahre wird der Bundestag in Deutschland gewählt?;2 Jahre;3 Jahre;4 Jahre;5 Jahre;c
111;In Deutschland darf man wählen. Was bedeutet das?;Alle deutschen Staatsangehörigen dürfen wählen, wenn sie das Mindestalter erreicht haben.;Nur verheiratete Personen dürfen wählen.;Nur Personen mit einem festen Arbeitsplatz dürfen wählen.;Alle Einwohner und Einwohnerinnen in Deutschland müssen wählen.;a
112;Die Wahlen in Deutschland sind ...;speziell.;geheim.;berufsbezogen.;geschlechtsabhängig.;b
113;Wahlen in Deutschland gewinnt die Partei, die ...;die meisten Stimmen bekommt.;die meisten Männer mehrheitlich gewählt haben.;die meisten Stimmen bei den Arbeitern / Arbeiterinnen bekommen hat.;die meisten Erststimmen für ihren Kanzlerkandidaten / ihre Kanzlerkandidatin erhalten hat.;a
114;An demokratischen Wahlen in Deutschland teilzunehmen ist ...;eine Pflicht.;ein Recht.;ein Zwang.;eine Last.;b
115;Was bedeutet „aktives Wahlrecht“ in Deutschland?;Man kann gewählt werden.;Man muss wählen gehen.;Man kann wählen.;Man muss zur Auszählung der Stimmen gehen.;c
116;Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das ...;aktive Wahlkampagne.;aktives Wahlverfahren.;aktiver Wahlkampf.;aktives Wahlrecht.;d
117;Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?;3 %;4 %;5 %;6 %;c
118;Was regelt das Wahlrecht in Deutschland?;Wer wählen darf, muss wählen.;Alle die wollen, können wählen.;Wer nicht wählt, verliert das Recht zu wählen.;Wer wählen darf, kann wählen.;d
119;Wahlen in Deutschland sind frei. Was bedeutet das?;Alle verurteilten Straftäter / Straftäterinnen dürfen nicht wählen.;Wenn ich wählen gehen möchte, muss mein Arbeitgeber / meine Arbeitgeberin mir frei geben.;Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.;Ich kann frei entscheiden, wo ich wählen gehen möchte.;c
120;Das Wahlsystem in Deutschland ist ein ...;Zensuswahlrecht.;Dreiklassenwahlrecht.;Mehrheits- und Verhältniswahlrecht.;allgemeines Männerwahlrecht.;c
121;Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt ...;5 %-Hürde.;Zulassungsgrenze.;Basiswert.;Richtlinie.;a
122;Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind ...;frei, gleich, geheim.;offen, sicher, frei.;geschlossen, gleich, sicher.;sicher, offen, freiwillig.;a
123;Was ist in Deutschland die „5 %-Hürde“?;Abstimmungsregelung im Bundestag für kleine Parteien;Anwesenheitskontrolle im Bundestag für Abstimmungen;Mindestanteil an Wählerstimmen, um ins Parlament zu kommen;Anwesenheitskontrolle im Bundesrat für Abstimmungen;c
124;Die Bundestagswahl in Deutschland ist die Wahl ...;des Bundeskanzlers / der Bundeskanzlerin.;der Parlamente der Länder.;des Parlaments für Deutschland.;des Bundespräsidenten / der Bundespräsidentin.;c
125;In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, ...;die Bürger und Bürgerinnen zu zwingen, ihre Stimme abzugeben.;nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.;im Land bestehende Gesetze beizubehalten.;den Armen mehr Macht zu geben.;b
126;Was bekommen wahlberechtigte Bürger und Bürgerinnen in Deutschland vor einer Wahl?;eine Wahlbenachrichtigung von der Gemeinde;eine Wahlerlaubnis vom Bundespräsidenten / von der Bundespräsidentin;eine Benachrichtigung von der Bundesversammlung;eine Benachrichtigung vom Pfarramt;a
127;Warum gibt es die 5 %-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil ...;die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.;die Bürger und Bürgerinnen bei vielen kleinen Parteien die Orientierung verlieren können.;viele kleine Parteien die Regierungsbildung erschweren.;die kleinen Parteien nicht so viel Geld haben, um die Politiker und Politikerinnen zu bezahlen.;c
128;Parlamentsmitglieder, die von den Bürgern und Bürgerinnen gewählt werden, nennt man ...;Abgeordnete.;Kanzler / Kanzlerinnen.;Botschafter / Botschafterinnen.;Ministerpräsidenten / Ministerpräsidentinnen.;a
129;Vom Volk gewählt wird in Deutschland ...;der Bundeskanzler / die Bundeskanzlerin.;der Ministerpräsident / die Ministerpräsidentin eines Bundeslandes.;der Bundestag.;der Bundespräsident / die Bundespräsidentin.;c
130;Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?;1;2;3;4;a
131;In Deutschland ist ein Bürgermeister / eine Bürgermeisterin ...;der Leiter / die Leiterin einer Schule.;der Chef / die Chefin einer Bank.;das Oberhaupt einer Gemeinde.;der / die Vorsitzende einer Partei.;c
132;Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?;Sie arbeiten als Soldaten / Soldatinnen.;Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.;Sie arbeiten in der Bundesregierung.;Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.;b
133;Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?;Der Ehemann wählt für seine Frau mit.;Man kann durch Briefwahl seine Stimme abgeben.;Man kann am Wahltag telefonisch seine Stimme abgeben.;Kinder ab dem Alter von 14 Jahren dürfen wählen.;b
134;Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?;Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.;Ich werde Mitglied in einem Sportverein und trainiere Rad fahren.;Ich wende mich an das Finanzamt, weil ich als Steuerzahler / Steuerzahlerin ein Recht auf die Buslinie habe.;Ich schreibe einen Brief an das Forstamt der Gemeinde.;a
135;Wen vertreten die Gewerkschaften in Deutschland?;große Unternehmen;kleine Unternehmen;Selbstständige;Arbeitnehmer und Arbeitnehmerinnen;d
136;Sie gehen in Deutschland zum Arbeitsgericht bei ...;falscher Nebenkostenabrechnung.;ungerechtfertigter Kündigung durch Ihren Chef / Ihre Chefin.;Problemen mit den Nachbarn / Nachbarinnen.;Schwierigkeiten nach einem Verkehrsunfall.;b
